title,state,wiki_link,imdb_link,imdb_id
Sweet Home Alabama,Alabama,https://en.wikipedia.org/wiki/Sweet_Home_Alabama_(film),https://www.imdb.com/title/tt0256415/,tt0256415
Swing Vote,Alabama,https://en.wikipedia.org/wiki/Swing_Vote_(1999_film),https://www.imdb.com/title/tt0181040/,tt0181040
Talladega Nights: The Ballad of Ricky Bobby,Alabama,https://en.wikipedia.org/wiki/Talladega_Nights:_The_Ballad_of_Ricky_Bobby,https://www.imdb.com/title/tt0415306/,tt0415306
To Kill a Mockingbird,Alabama,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird_(film),https://www.imdb.com/title/tt0056592/,tt0056592
The Tuskegee Airmen,Alabama,https://en.wikipedia.org/wiki/The_Tuskegee_Airmen,https://www.imdb.com/title/tt0114745/,tt0114745
Unconquered,Alabama,https://en.wikipedia.org/wiki/Unconquered_(1989_film),https://www.imdb.com/title/tt0098555/,tt0098555
Walk Hard: The Dewey Cox Story,Alabama,https://en.wikipedia.org/wiki/Walk_Hard:_The_Dewey_Cox_Story,https://www.imdb.com/title/tt0841046/,tt0841046
"Wife, Mother, Murderer",Alabama,"https://en.wikipedia.org/wiki/Wife,_Mother,_Murderer",https://www.imdb.com/title/tt0103258/,tt0103258
The Witches,Alabama,https://en.wikipedia.org/wiki/The_Witches_(2020_film),https://www.imdb.com/title/tt0805647/,tt0805647
Woodlawn,Alabama,https://en.wikipedia.org/wiki/Woodlawn_(film),https://www.imdb.com/title/tt4183692/,tt4183692
30 Days of Night,Alaska,https://en.wikipedia.org/wiki/30_Days_of_Night_(film),https://www.imdb.com/title/tt0389722/,tt0389722
30 Days of Night: Dark Days,Alaska,https://en.wikipedia.org/wiki/30_Days_of_Night:_Dark_Days,https://www.imdb.com/title/tt1320304/,tt1320304
Alaska,Alaska,https://en.wikipedia.org/wiki/Alaska_(1996_film),https://www.imdb.com/title/tt0115493/,tt0115493
Alaska Highway,Alaska,https://en.wikipedia.org/wiki/Alaska_Highway_(film),https://www.imdb.com/title/tt0035622/,tt0035622
Alaska Seas,Alaska,https://en.wikipedia.org/wiki/Alaska_Seas,https://www.imdb.com/title/tt0046692/,tt0046692
Alaska: Spirit of the Wild,Alaska,https://en.wikipedia.org/wiki/Alaska:_Spirit_of_the_Wild,https://www.imdb.com/title/tt0130445/,tt0130445
The Alaskan Eskimo,Alaska,https://en.wikipedia.org/wiki/The_Alaskan_Eskimo,https://www.imdb.com/title/tt0045485/,tt0045485
Alaskan Knights,Alaska,https://en.wikipedia.org/wiki/Alaskan_Knights,https://www.imdb.com/title/tt0149612/,tt0149612
The Alaskan,Alaska,https://en.wikipedia.org/wiki/The_Alaskan,https://www.imdb.com/title/tt0014655/,tt0014655
Anything to Survive,Alaska,https://en.wikipedia.org/wiki/Anything_to_Survive,https://www.imdb.com/title/tt0099045/,tt0099045
Arctic Blue,Alaska,https://en.wikipedia.org/wiki/Arctic_Blue,https://www.imdb.com/title/tt0106303/,tt0106303
Arctic Flight,Alaska,https://en.wikipedia.org/wiki/Arctic_Flight,https://www.imdb.com/title/tt0044371/,tt0044371
