title,state,wiki_link,imdb_link,imdb_id,year,genres,rating,votes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Borat,Texas,https://en.wikipedia.org/wiki/Borat,https://www.imdb.com/title/tt0443453/,tt0443453,2006,Comedy,7.3,355350,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bright Road,Alabama,https://en.wikipedia.org/wiki/Bright_Road,https://www.imdb.com/title/tt0045578/,tt0045578,1953,"Drama,Music",6.7,570,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Brüno,Alabama,https://en.wikipedia.org/wiki/Br%C3%BCno,https://www.imdb.com/title/tt0889583/,tt0889583,2009,Comedy,5.8,140413,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brüno,Arkansas,https://en.wikipedia.org/wiki/Br%C3%BCno,https://www.imdb.com/title/tt0889583/,tt0889583,2009,Comedy,5.8,140413,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brüno,California,https://en.wikipedia.org/wiki/Br%C3%BCno,https://www.imdb.com/title/tt0889583/,tt0889583,2009,Comedy,5.8,140413,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brüno,Texas,https://en.wikipedia.org/wiki/Br%C3%BCno,https://www.imdb.com/title/tt0889583/,tt0889583,2009,Comedy,5.8,140413,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burning Bright,Alabama,https://en.wikipedia.org/wiki/Burning_Bright_(film),https://www.imdb.com/title/tt1244658/,tt1244658,2010,"Drama,Horror,Thriller",5.9,6523,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
The Butler,Alabama,https://en.wikipedia.org/wiki/The_Butler,https://www.imdb.com/title/tt1327773/,tt1327773,2013,"Biography,Drama",7.2,107251,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Butler,California,https://en.wikipedia.org/wiki/The_Butler,https://www.imdb.com/title/tt1327773/,tt1327773,2013,"Biography,Drama",7.2,107251,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Butler,Georgia,https://en.wikipedia.org/wiki/The_Butler,https://www.imdb.com/title/tt1327773/,tt1327773,2013,"Biography,Drama",7.2,107251,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Butler,Tennessee,https://en.wikipedia.org/wiki/The_Butler,https://www.imdb.com/title/tt1327773/,tt1327773,2013,"Biography,Drama",7.2,107251,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ChromeSkull: Laid to Rest 2,Alabama,https://en.wikipedia.org/wiki/ChromeSkull:_Laid_to_Rest_2,https://www.imdb.com/title/tt1792799/,tt1792799,2011,Horror,5.1,3376,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ChromeSkull: Laid to Rest 2,California,https://en.wikipedia.org/wiki/ChromeSkull:_Laid_to_Rest_2,https://www.imdb.com/title/tt1792799/,tt1792799,2011,Horror,5.1,3376,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ChromeSkull: Laid to Rest 2,Georgia,https://en.wikipedia.org/wiki/ChromeSkull:_Laid_to_Rest_2,https://www.imdb.com/title/tt1792799/,tt1792799,2011,Horror,5.1,3376,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Constellation,Alabama,https://en.wikipedia.org/wiki/Constellation_(film),https://www.imdb.com/title/tt0315431/,tt0315431,2005,Drama,4.0,540,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Crazy in Alabama,Alabama,https://en.wikipedia.org/wiki/Crazy_in_Alabama,https://www.imdb.com/title/tt0142201/,tt0142201,1999,"Comedy,Crime,Drama",6.2,6625,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Crazy in Alabama,California,https://en.wikipedia.org/wiki/Crazy_in_Alabama,https://www.imdb.com/title/tt0142201/,tt0142201,1999,"Comedy,Crime,Drama",6.2,6625,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dead Birds,Alabama,https://en.wikipedia.org/wiki/Dead_Birds_(2004_film),https://www.imdb.com/title/tt0377749/,tt0377749,2004,"Horror,Thriller,Western",5.6,9759,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
The Death of Dick Long,Alabama,https://en.wikipedia.org/wiki/The_Death_of_Dick_Long,https://www.imdb.com/title/tt9356952/,tt9356952,2019,"Comedy,Crime,Drama",6.3,3623,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Dog Named Gucci,Alabama,https://en.wikipedia.org/wiki/A_Dog_Named_Gucci,https://www.imdb.com/title/tt3588852/,tt3588852,2015,"Biography,Documentary,Drama",9.1,94,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Due Date,Alabama,https://en.wikipedia.org/wiki/Due_Date,https://www.imdb.com/title/tt1231583/,tt1231583,2010,"Comedy,Drama",6.5,320749,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Due Date,Arizona,https://en.wikipedia.org/wiki/Due_Date,https://www.imdb.com/title/tt1231583/,tt1231583,2010,"Comedy,Drama",6.5,320749,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
